normalized_family,migration_action,source_path,target_path,route_family,evidence_source,handoff_candidate,raw_variant_count,reason
/glossary/mcp-auth-provider-18,REDIRECT,/glossary/mcp-auth-provider-18,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-batch-processing-34,REDIRECT,/glossary/mcp-batch-processing-34,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-websocket-server-86,REDIRECT,/glossary/mcp-websocket-server-86,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-sse-gateway-85,REDIRECT,/glossary/mcp-sse-gateway-85,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-disaster-recovery-57,REDIRECT,/glossary/mcp-disaster-recovery-57,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-stream-aggregator-64,REDIRECT,/glossary/mcp-stream-aggregator-64,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-webhook-receiver-73,REDIRECT,/glossary/mcp-webhook-receiver-73,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-auto-scaling-0,REDIRECT,/glossary/mcp-auto-scaling-0,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-polling-service-88,REDIRECT,/glossary/mcp-polling-service-88,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-load-balancer-15,REDIRECT,/glossary/mcp-load-balancer-15,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-process-monitor-97,REDIRECT,/glossary/mcp-process-monitor-97,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-ssl-terminator-49,REDIRECT,/glossary/mcp-ssl-terminator-49,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-rule-engine-110,REDIRECT,/glossary/mcp-rule-engine-110,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-pubsub-system-90,REDIRECT,/glossary/mcp-pubsub-system-90,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-callback-handler-74,REDIRECT,/glossary/mcp-callback-handler-74,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-stream-processing-33,REDIRECT,/glossary/mcp-stream-processing-33,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-schema-validator-118,REDIRECT,/glossary/mcp-schema-validator-118,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-container-registry-1,REDIRECT,/glossary/mcp-container-registry-1,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-socket-adapter-87,REDIRECT,/glossary/mcp-socket-adapter-87,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-schema-registry-61,REDIRECT,/glossary/mcp-schema-registry-61,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-cdn-service-4,REDIRECT,/glossary/mcp-cdn-service-4,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-message-broker-5,REDIRECT,/glossary/mcp-message-broker-5,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-vulnerability-scan-106,REDIRECT,/glossary/mcp-vulnerability-scan-106,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-object-store-21,REDIRECT,/glossary/mcp-object-store-21,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-http-cache-50,REDIRECT,/glossary/mcp-http-cache-50,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
/glossary/mcp-push-notification-72,REDIRECT,/glossary/mcp-push-notification-72,/glossary/,glossary,handoff_redirect_map,yes,1,Glossary numeric-suffix consolidation: 92 handoff candidates (1:1 with gloss_numeric_bloat) all redirect to /glossary/. Includes the 2 semantic numeric terms /glossary/mcp-soc-2 and /glossary/mcp-iso-27001 (must be re-protected if redirected).
